"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: inputValue","Param: targetClassName"
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,42838.129210,1320.797977,"ops/ms",42,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,42429.731753,71.837808,"ops/ms",42,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,12088.970884,461.998444,"ops/ms",42,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,20842.810281,420.446133,"ops/ms",42,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,35706.887933,1070.970070,"ops/ms",2147483647,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,34945.701748,1238.368344,"ops/ms",2147483647,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,7191.324140,149.608916,"ops/ms",2147483647,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,25205.264567,176.126930,"ops/ms",2147483647,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,36414.131533,1323.504053,"ops/ms",314159265,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,35803.430952,1347.355418,"ops/ms",314159265,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,10671.650736,929.965741,"ops/ms",314159265,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,24861.877471,1506.366095,"ops/ms",314159265,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,42412.175282,1702.302420,"ops/ms",0,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,41043.607664,425.966950,"ops/ms",0,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,36506.685083,1268.830286,"ops/ms",0,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkTo","thrpt",1,5,29756.827094,1647.707052,"ops/ms",0,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,44597.525792,394.701236,"ops/ms",42,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,43152.642269,2171.063671,"ops/ms",42,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,12391.560078,547.486179,"ops/ms",42,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,20983.834705,2553.246007,"ops/ms",42,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,35148.706739,1326.915403,"ops/ms",2147483647,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,35343.357076,161.025441,"ops/ms",2147483647,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,6873.491541,974.724277,"ops/ms",2147483647,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,24734.626087,1022.392236,"ops/ms",2147483647,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,36278.628277,5060.952179,"ops/ms",314159265,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,35951.306786,794.485302,"ops/ms",314159265,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,11050.819524,794.299538,"ops/ms",314159265,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,24899.540512,286.168413,"ops/ms",314159265,java.math.BigDecimal
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,44378.219769,1785.462721,"ops/ms",0,java.lang.Integer
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,45881.332964,460.613393,"ops/ms",0,java.lang.Long
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,35895.178731,760.824646,"ops/ms",0,java.math.BigInteger
"org.apache.commons.configuration2.benchmarks.PropertyConverterBenchmark.benchmarkToOriginal","thrpt",1,5,29689.543295,971.505042,"ops/ms",0,java.math.BigDecimal
