"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: input","Param: jupCompatible"
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJava","thrpt",1,5,2763.645105,32.971399,"ops/ms","This string contains \n newlines, \t tabs, and \u0041 some unicode.",true
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJava","thrpt",1,5,2817.664494,10.710979,"ops/ms","This string contains \n newlines, \t tabs, and \u0041 some unicode.",false
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJava","thrpt",1,5,1829.330349,8.851987,"ops/ms","Line1\nLine2\nLine3\nLine4\nLine5\nEscapes: \t\t\t More escapes: \u0020\u0021\u0022 ",true
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJava","thrpt",1,5,1970.649589,83.308000,"ops/ms","Line1\nLine2\nLine3\nLine4\nLine5\nEscapes: \t\t\t More escapes: \u0020\u0021\u0022 ",false
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJava","thrpt",1,5,137.351764,0.869703,"ops/ms","Repeated Unicode: \u0041\u0042\u0043\u0044\u0045\u0046 \u00A9\u00AE\u00F1 \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text ",true
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJava","thrpt",1,5,136.501686,1.461034,"ops/ms","Repeated Unicode: \u0041\u0042\u0043\u0044\u0045\u0046 \u00A9\u00AE\u00F1 \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text ",false
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJavaOriginal","thrpt",1,5,2719.427051,94.948005,"ops/ms","This string contains \n newlines, \t tabs, and \u0041 some unicode.",true
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJavaOriginal","thrpt",1,5,2719.828354,16.317242,"ops/ms","This string contains \n newlines, \t tabs, and \u0041 some unicode.",false
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJavaOriginal","thrpt",1,5,1933.183814,12.328203,"ops/ms","Line1\nLine2\nLine3\nLine4\nLine5\nEscapes: \t\t\t More escapes: \u0020\u0021\u0022 ",true
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJavaOriginal","thrpt",1,5,2014.826631,67.364039,"ops/ms","Line1\nLine2\nLine3\nLine4\nLine5\nEscapes: \t\t\t More escapes: \u0020\u0021\u0022 ",false
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJavaOriginal","thrpt",1,5,68.749268,1.212812,"ops/ms","Repeated Unicode: \u0041\u0042\u0043\u0044\u0045\u0046 \u00A9\u00AE\u00F1 \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text ",true
"org.apache.commons.configuration2.benchmarks.UnescapeJavaBenchmark.benchmarkUnescapeJavaOriginal","thrpt",1,5,65.959155,8.259683,"ops/ms","Repeated Unicode: \u0041\u0042\u0043\u0044\u0045\u0046 \u00A9\u00AE\u00F1 \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text \n\t \u0031 Some text ",false
